text,imageURN,folioReference
urn:cts:greekLit:tlg5026.msA:8.194,"urn:cite:hmt:vaimg.VA106RN-0278@0.6338,0.3239,0.1955,0.0768",urn:cite:hmt:msA.msA-106r
urn:cts:greekLit:tlg5026.msA:8.195,"urn:cite:hmt:vaimg.VA106RN-0278@0.6349,0.3943,0.1848,0.0432",urn:cite:hmt:msA.msA-106r
urn:cts:greekLit:tlg5026.msA:8.196,"urn:cite:hmt:vaimg.VA106RN-0278@0.6301,0.4317,0.1967,0.0708",urn:cite:hmt:msA.msA-106r
urn:cts:greekLit:tlg5026.msA:8.197,"urn:cite:hmt:vaimg.VA106RN-0278@0.1762,0.4951,0.6577,0.2667",urn:cite:hmt:msA.msA-106r
urn:cts:greekLit:tlg5026.msA:8.198,"urn:cite:hmt:vaimg.VA106RN-0278@0.1672,0.747,0.6529,0.0276",urn:cite:hmt:msA.msA-106r
urn:cts:greekLit:tlg5026.msA:8.199,"urn:cite:hmt:vaimg.VA106RN-0278@0.1672,0.7611,0.6623,0.0494",urn:cite:hmt:msA.msA-106r
urn:cts:greekLit:tlg5026.msA:8.204,"urn:cite:hmt:vaimg.VA106VN-0609@0.1743,0.1341,0.6634,0.035",urn:cite:hmt:msA.msA-106v
urn:cts:greekLit:tlg5026.msA:8.205,"urn:cite:hmt:vaimg.VA106VN-0609@0.1777,0.3958,0.226,0.2532",urn:cite:hmt:msA.msA-106v
urn:cts:greekLit:tlg5026.msA:8.206,"urn:cite:hmt:vaimg.VA106VN-0609@0.1809,0.6203,0.2223,0.0622",urn:cite:hmt:msA.msA-106v
urn:cts:greekLit:tlg5026.msA:8.207,"urn:cite:hmt:vaimg.VA106VN-0609@0.1829,0.6642,0.2406,0.0669",urn:cite:hmt:msA.msA-106v
urn:cts:greekLit:tlg5026.msA:8.208,"urn:cite:hmt:vaimg.VA106VN-0609@0.182,0.7166,0.2883,0.0523",urn:cite:hmt:msA.msA-106v
urn:cts:greekLit:tlg5026.msA:8.209,"urn:cite:hmt:vaimg.VA106VN-0609@0.4823,0.7273,0.3797,0.0399",urn:cite:hmt:msA.msA-106v
urn:cts:greekLit:tlg5026.msA:8.210,"urn:cite:hmt:vaimg.VA106VN-0609@0.1877,0.7413,0.6866,0.0659",urn:cite:hmt:msA.msA-106v
urn:cts:greekLit:tlg5026.msA:8.222,"urn:cite:hmt:vaimg.VA107RN-0279@0.1907,0.1152,0.6434,0.0589",urn:cite:hmt:msA.msA-107r
urn:cts:greekLit:tlg5026.msA:8.223,"urn:cite:hmt:vaimg.VA107RN-0279@0.199,0.1594,0.6186,0.0396",urn:cite:hmt:msA.msA-107r
urn:cts:greekLit:tlg5026.msA:8.224,"urn:cite:hmt:vaimg.VA107RN-0279@0.1982,0.182,0.6389,0.06",urn:cite:hmt:msA.msA-107r
urn:cts:greekLit:tlg5026.msA:8.225,"urn:cite:hmt:vaimg.VA107RN-0279@0.6324,0.2403,0.2145,0.078",urn:cite:hmt:msA.msA-107r
urn:cts:greekLit:tlg5026.msA:8.226,"urn:cite:hmt:vaimg.VA107RN-0279@0.6305,0.3141,0.2034,0.0509",urn:cite:hmt:msA.msA-107r
urn:cts:greekLit:tlg5026.msA:8.227,"urn:cite:hmt:vaimg.VA107RN-0279@0.6269,0.4528,0.1938,0.0692",urn:cite:hmt:msA.msA-107r
urn:cts:greekLit:tlg5026.msA:8.228,"urn:cite:hmt:vaimg.VA107RN-0279@0.6116,0.5192,0.2232,0.2044",urn:cite:hmt:msA.msA-107r
urn:cts:greekLit:tlg5026.msA:8.9003,"urn:cite:hmt:vaimg.VA107RN-0279@0.1671,0.7146,0.6574,0.0662",urn:cite:hmt:msA.msA-107r
urn:cts:greekLit:tlg5026.msA:8.229,"urn:cite:hmt:vaimg.VA107RN-0279@0.1693,0.7546,0.6434,0.0612",urn:cite:hmt:msA.msA-107r
urn:cts:greekLit:tlg5026.msA:8.233,"urn:cite:hmt:vaimg.VA107VN-0610@0.18,0.1283,0.7228,0.0748",urn:cite:hmt:msA.msA-107v
urn:cts:greekLit:tlg5026.msA:8.234,"urn:cite:hmt:vaimg.VA107VN-0610@0.1776,0.173,0.7148,0.0454",urn:cite:hmt:msA.msA-107v
urn:cts:greekLit:tlg5026.msA:8.235,"urn:cite:hmt:vaimg.VA107VN-0610@0.188,0.1886,0.702,0.0712",urn:cite:hmt:msA.msA-107v
urn:cts:greekLit:tlg5026.msA:8.236,"urn:cite:hmt:vaimg.VA107VN-0610@0.1676,0.2445,0.2264,0.0781",urn:cite:hmt:msA.msA-107v
